Item ID,Color ID,Size ID,Item Name,Color Name,Size Name,SKU Description,Department,Class,Wholesale Price,Retail Price,Retail Markup $,Retail Markup %,On Hand #
011,600,090,Double Wrap Solid Belt,Blue,9,Blue 9,Belts,Solid,$3.49,$6.99,$3.50,100.3%,53
011,621,090,Double Wrap Solid Belt,Navy,9,Navy 9,Belts,Solid,$3.49,$6.99,$3.50,100.3%,24
011,700,002,Double Wrap Solid Belt,Purple,0,Purple 0,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,006"
011,700,010,Double Wrap Solid Belt,Purple,1,Purple 1,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"2,280"
011,700,020,Double Wrap Solid Belt,Purple,2,Purple 2,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"2,483"
011,700,030,Double Wrap Solid Belt,Purple,3,Purple 3,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"2,029"
011,700,040,Double Wrap Solid Belt,Purple,4,Purple 4,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,291"
011,700,050,Double Wrap Solid Belt,Purple,5,Purple 5,Belts,Solid,$3.49,$6.99,$3.50,100.3%,963
011,700,060,Double Wrap Solid Belt,Purple,6,Purple 6,Belts,Solid,$3.49,$6.99,$3.50,100.3%,440
011,700,070,Double Wrap Solid Belt,Purple,7,Purple 7,Belts,Solid,$3.49,$6.99,$3.50,100.3%,193
011,700,080,Double Wrap Solid Belt,Purple,8,Purple 8,Belts,Solid,$3.49,$6.99,$3.50,100.3%,99
011,700,090,Double Wrap Solid Belt,Purple,9,Purple 9,Belts,Solid,$3.49,$6.99,$3.50,100.3%,24
011,800,002,Double Wrap Solid Belt,Brown,0,Brown 0,Belts,Solid,$3.49,$6.99,$3.50,100.3%,330
011,800,010,Double Wrap Solid Belt,Brown,1,Brown 1,Belts,Solid,$3.49,$6.99,$3.50,100.3%,940
011,800,020,Double Wrap Solid Belt,Brown,2,Brown 2,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,468"
011,800,030,Double Wrap Solid Belt,Brown,3,Brown 3,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,427"
011,800,040,Double Wrap Solid Belt,Brown,4,Brown 4,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,231"
011,800,050,Double Wrap Solid Belt,Brown,5,Brown 5,Belts,Solid,$3.49,$6.99,$3.50,100.3%,849
011,800,060,Double Wrap Solid Belt,Brown,6,Brown 6,Belts,Solid,$3.49,$6.99,$3.50,100.3%,330
011,800,070,Double Wrap Solid Belt,Brown,7,Brown 7,Belts,Solid,$3.49,$6.99,$3.50,100.3%,169
011,800,080,Double Wrap Solid Belt,Brown,8,Brown 8,Belts,Solid,$3.49,$6.99,$3.50,100.3%,72
011,800,090,Double Wrap Solid Belt,Brown,9,Brown 9,Belts,Solid,$3.49,$6.99,$3.50,100.3%,48
011,900,002,Double Wrap Solid Belt,Red,0,Red 0,Belts,Solid,$3.49,$6.99,$3.50,100.3%,332
011,900,010,Double Wrap Solid Belt,Red,1,Red 1,Belts,Solid,$3.49,$6.99,$3.50,100.3%,932
011,900,020,Double Wrap Solid Belt,Red,2,Red 2,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,610"
011,900,030,Double Wrap Solid Belt,Red,3,Red 3,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,366"
011,900,040,Double Wrap Solid Belt,Red,4,Red 4,Belts,Solid,$3.49,$6.99,$3.50,100.3%,"1,218"
011,900,050,Double Wrap Solid Belt,Red,5,Red 5,Belts,Solid,$3.49,$6.99,$3.50,100.3%,690
011,900,060,Double Wrap Solid Belt,Red,6,Red 6,Belts,Solid,$3.49,$6.99,$3.50,100.3%,402
011,900,070,Double Wrap Solid Belt,Red,7,Red 7,Belts,Solid,$3.49,$6.99,$3.50,100.3%,214
011,900,080,Double Wrap Solid Belt,Red,8,Red 8,Belts,Solid,$3.49,$6.99,$3.50,100.3%,79
011,900,090,Double Wrap Solid Belt,Red,9,Red 9,Belts,Solid,$3.49,$6.99,$3.50,100.3%,58
0110,010,010,Single Wrap Solid Belt,Black,1,Black 1,Belts,Solid,$2.99,$5.99,$3.00,100.3%,103
0110,010,030,Single Wrap Solid Belt,Black,3,Black 3,Belts,Solid,$2.99,$5.99,$3.00,100.3%,9
0110,010,050,Single Wrap Solid Belt,Black,5,Black 5,Belts,Solid,$2.99,$5.99,$3.00,100.3%,135
0110,200,010,Single Wrap Solid Belt,Yellow,1,Yellow 1,Belts,Solid,$2.99,$5.99,$3.00,100.3%,453
0110,200,030,Single Wrap Solid Belt,Yellow,3,Yellow 3,Belts,Solid,$2.99,$5.99,$3.00,100.3%,305
0110,200,050,Single Wrap Solid Belt,Yellow,5,Yellow 5,Belts,Solid,$2.99,$5.99,$3.00,100.3%,135
0110,400,010,Single Wrap Solid Belt,Orange,1,Orange 1,Belts,Solid,$2.99,$5.99,$3.00,100.3%,380
0110,400,030,Single Wrap Solid Belt,Orange,3,Orange 3,Belts,Solid,$2.99,$5.99,$3.00,100.3%,389
0110,400,050,Single Wrap Solid Belt,Orange,5,Orange 5,Belts,Solid,$2.99,$5.99,$3.00,100.3%,128
0110,500,010,Single Wrap Solid Belt,Green,1,Green 1,Belts,Solid,$2.99,$5.99,$3.00,100.3%,299
0110,500,030,Single Wrap Solid Belt,Green,3,Green 3,Belts,Solid,$2.99,$5.99,$3.00,100.3%,177
0110,500,050,Single Wrap Solid Belt,Green,5,Green 5,Belts,Solid,$2.99,$5.99,$3.00,100.3%,210
0110,600,010,Single Wrap Solid Belt,Blue,1,Blue 1,Belts,Solid,$2.99,$5.99,$3.00,100.3%,161
0110,600,030,Single Wrap Solid Belt,Blue,3,Blue 3,Belts,Solid,$2.99,$5.99,$3.00,100.3%,188
0110,600,050,Single Wrap Solid Belt,Blue,5,Blue 5,Belts,Solid,$2.99,$5.99,$3.00,100.3%,81
0110,700,010,Single Wrap Solid Belt,Purple,1,Purple 1,Belts,Solid,$2.99,$5.99,$3.00,100.3%,261
0110,700,030,Single Wrap Solid Belt,Purple,3,Purple 3,Belts,Solid,$2.99,$5.99,$3.00,100.3%,172
0110,700,050,Single Wrap Solid Belt,Purple,5,Purple 5,Belts,Solid,$2.99,$5.99,$3.00,100.3%,90
0110,800,010,Single Wrap Solid Belt,Brown,1,Brown 1,Belts,Solid,$2.99,$5.99,$3.00,100.3%,111
0110,800,030,Single Wrap Solid Belt,Brown,3,Brown 3,Belts,Solid,$2.99,$5.99,$3.00,100.3%,116
0110,800,050,Single Wrap Solid Belt,Brown,5,Brown 5,Belts,Solid,$2.99,$5.99,$3.00,100.3%,34
0110,900,010,Single Wrap Solid Belt,Red,1,Red 1,Belts,Solid,$2.99,$5.99,$3.00,100.3%,83
0110,900,030,Single Wrap Solid Belt,Red,3,Red 3,Belts,Solid,$2.99,$5.99,$3.00,100.3%,120
0110,900,050,Single Wrap Solid Belt,Red,5,Red 5,Belts,Solid,$2.99,$5.99,$3.00,100.3%,100
01101,600,030,COLOR BELT White-ATA,Blue,3,Blue 3,Belts,Custom Stock,$1.99,$4.99,$3.00,150.8%,96
0110CC,999,001,SW SOLID BELT CUSTOMS,Custom,00,Custom 00,Custom,Uniforms,$5.50,$5.50,$0.00,0.0%,0
0110CC,999,002,SW SOLID BELT CUSTOMS,Custom,0,Custom 0,Custom,Uniforms,$5.50,$5.50,$0.00,0.0%,0
0110CC,999,010,SW SOLID BELT CUSTOMS,Custom,1,Custom 1,Custom,Uniforms,$5.50,$5.50,$0.00,0.0%,0
0110CC,999,020,SW SOLID BELT CUSTOMS,Custom,2,Custom 2,Custom,Uniforms,$5.50,$5.50,$0.00,0.0%,0
0110CC,999,030,SW SOLID BELT CUSTOMS,Custom,3,Custom 3,Custom,Uniforms,$5.50,$5.50,$0.00,0.0%,0
0110CC,999,040,SW SOLID BELT CUSTOMS,Custom,4,Custom 4,Custom,Uniforms,$5.50,$5.50,$0.00,0.0%,0
0110CC,999,050,SW SOLID BELT CUSTOMS,Custom,5,Custom 5,Custom,Uniforms,$5.50,$5.50,$0.00,0.0%,0
0110CC,999,060,SW SOLID BELT CUSTOMS,Custom,6,Custom 6,Custom,Uniforms,$5.50,$5.50,$0.00,0.0%,0
0110CC,999,070,SW SOLID BELT CUSTOMS,Custom,7,Custom 7,Custom,Uniforms,$5.50,$5.50,$0.00,0.0%,0
0111,010,020,Double Wrap Deluxe Black Belt,Black,2,Black 2,Belts,Black Belts,$7.99,$14.99,$7.00,87.6%,0
0111,010,030,Double Wrap Deluxe Black Belt,Black,3,Black 3,Belts,Black Belts,$7.99,$14.99,$7.00,87.6%,0
0111,010,040,Double Wrap Deluxe Black Belt,Black,4,Black 4,Belts,Black Belts,$7.99,$14.99,$7.00,87.6%,0
0111,010,050,Double Wrap Deluxe Black Belt,Black,5,Black 5,Belts,Black Belts,$7.99,$14.99,$7.00,87.6%,0
0111,010,060,Double Wrap Deluxe Black Belt,Black,6,Black 6,Belts,Black Belts,$7.99,$14.99,$7.00,87.6%,0
0111,010,070,Double Wrap Deluxe Black Belt,Black,7,Black 7,Belts,Black Belts,$7.99,$14.99,$7.00,87.6%,0
0111,010,080,Double Wrap Deluxe Black Belt,Black,8,Black 8,Belts,Black Belts,$7.99,$14.99,$7.00,87.6%,0
0111,010,090,Double Wrap Deluxe Black Belt,Black,9,Black 9,Belts,Black Belts,$7.99,$14.99,$7.00,87.6%,0
01111,621,020,Deluxe Midnight Blue Tang Soo Do Belt,Navy,2,Navy 2,Belts,Black Belts,$18.49,$34.99,$16.50,89.2%,36
01111,621,030,Deluxe Midnight Blue Tang Soo Do Belt,Navy,3,Navy 3,Belts,Black Belts,$18.49,$34.99,$16.50,89.2%,30
01111,621,040,Deluxe Midnight Blue Tang Soo Do Belt,Navy,4,Navy 4,Belts,Black Belts,$18.49,$34.99,$16.50,89.2%,36
01111,621,050,Deluxe Midnight Blue Tang Soo Do Belt,Navy,5,Navy 5,Belts,Black Belts,$18.49,$34.99,$16.50,89.2%,17
01111,621,060,Deluxe Midnight Blue Tang Soo Do Belt,Navy,6,Navy 6,Belts,Black Belts,$18.49,$34.99,$16.50,89.2%,12
01111,621,070,Deluxe Midnight Blue Tang Soo Do Belt,Navy,7,Navy 7,Belts,Black Belts,$18.49,$34.99,$16.50,89.2%,6
01111,621,080,Deluxe Midnight Blue Tang Soo Do Belt,Navy,8,Navy 8,Belts,Black Belts,$18.49,$34.99,$16.50,89.2%,16
01111C,621,020,"CUSTOM DELUXE NAVY 2"" TSD BELT",Navy,2,Navy 2,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01111C,621,030,"CUSTOM DELUXE NAVY 2"" TSD BELT",Navy,3,Navy 3,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01111C,621,040,"CUSTOM DELUXE NAVY 2"" TSD BELT",Navy,4,Navy 4,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01111C,621,050,"CUSTOM DELUXE NAVY 2"" TSD BELT",Navy,5,Navy 5,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01111C,621,060,"CUSTOM DELUXE NAVY 2"" TSD BELT",Navy,6,Navy 6,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
01111C,621,070,"CUSTOM DELUXE NAVY 2"" TSD BELT",Navy,7,Navy 7,Belts,Program,$17.99,$34.99,$17.00,94.5%,0
